TIME;TIME(s);LAT;LON;H;RHO;THETA;MODE 3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;BAR;IVV;TN;HEADING;STAT_230
01:34:21:406;5661;41,53522798;2,17209132;10363,2571600145;15,46875;12,645264;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;96;32;2671;108,9459;No alert, no SPI, aircraft airbone;
01:34:25:438;5665;41,53207248;2,18445658;10363,2527922001;15,421875;14,979858;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;-96;0;2671;108,9459;No alert, no SPI, aircraft airbone;
01:34:29:445;5669;41,52888910;2,19670514;10363,2480310965;15,394531;17,30896;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,601562;286;-32;32;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:33:469;5673;41,52570283;2,20904786;10363,2428387124;15,390625;19,660034;5315;340;710063;SVA020;1013;0;108,984;526;0;472;101,601562;286;64;32;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:37:500;5678;41,52246202;2,22137611;10363,2372152722;15,40625;22,011108;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;64;32;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:41:523;5682;41,51923834;2,23370467;10363,2311942978;15,445312;24,351196;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;-224;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:45:547;5686;41,51605092;2,24599426;10363,2248008801;15,507812;26,663818;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;32;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:49:578;5690;41,51288114;2,25831622;10363,2179975649;15,59375;28,954468;5315;340;710063;SVA020;1013;0,176;108,984;526;0;472;101,953125;286;-160;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:53:602;5694;41,50965664;2,27066264;10363,2107491391;15,699219;31,223145;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,953125;286;-32;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:34:57:625;5698;41,50648986;2,28298183;10363,203134438;15,828125;33,442383;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,953125;286;-64;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:35:01:648;5702;41,50326447;2,29536376;10363,195051006;15,976562;35,634155;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,777344;286;-32;0;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:05:680;5706;41,50000322;2,30762378;10363,1866114214;16,140625;37,765503;5315;340;710063;SVA020;1013;0;109,160;526;0;472;101,777344;286;0;0;2671;109,1876;No alert, no SPI, aircraft airbone;
01:35:09:703;5710;41,49675738;2,32000219;10363,1777044935;16,328125;39,858398;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,601562;286;64;0;2671;109,1876;No alert, no SPI, aircraft airbone;
01:35:13:727;5714;41,49352876;2,33236901;10363,1684028842;16,535156;41,890869;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,601562;286;-64;0;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:17:750;5718;41,49026945;2,34468548;10363,1587128062;16,757812;43,862915;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;285;-64;0;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:21:773;5722;41,48707077;2,35698672;10363,1486545298;17;45,76355;5315;340;710063;SVA020;1013;-0,176;109,160;526;0;470;101,425781;284;96;32;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:25:797;5726;41,48385459;2,36927541;10363,1381928362;17,257812;47,60376;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;284;128;32;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:29:836;5730;41,48060735;2,38158859;10363,1272943802;17,53125;49,389038;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;285;0;32;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:33:836;5734;41,47737550;2,39389327;10363,1160036577;17,820312;51,108398;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;284;-32;0;2671;109,0887;No alert, no SPI, aircraft airbone;
01:35:37:852;5738;41,47419102;2,40618097;10363,1043414278;18,125;52,756348;5315;340;710063;SVA020;1013;0;109,160;526;0;470;101,425781;284;-64;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:35:41:875;5742;41,47095890;2,41845676;10363,0922659924;18,441406;54,349365;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;285;-32;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:35:45:891;5746;41,46768016;2,43084421;10363,0796650378;18,773438;55,898438;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,25;287;96;0;2671;109,1547;No alert, no SPI, aircraft airbone;
01:35:49:906;5750;41,46441802;2,44319060;10363,0666995058;19,117188;57,381592;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,25;287;-32;-32;2671;109,1547;No alert, no SPI, aircraft airbone;
01:35:53:922;5754;41,46118948;2,45550415;10363,0533714592;19,472656;58,798828;5315;340;710063;SVA020;1013;-0,176;109,160;528;0;474;101,425781;287;96;-32;2671;109,1547;No alert, no SPI, aircraft airbone;
01:35:57:945;5758;41,45795215;2,46773476;10363,0397197409;19,835938;60,15564;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;287;-32;-32;2671;109,1547;No alert, no SPI, aircraft airbone;
01:36:01:961;5762;41,45467580;2,48002489;10363,0255898228;20,210938;61,468506;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;287;-32;0;2671;109,0503;No alert, no SPI, aircraft airbone;
01:36:05:977;5766;41,45150942;2,49228267;10363,0111306245;20,597656;62,709961;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;287;0;0;2671;109,1547;No alert, no SPI, aircraft airbone;
01:36:09:984;5770;41,44835811;2,50449355;10362,9963266682;20,992188;63,896484;5315;340;710063;SVA020;1013;0,176;109,160;526;0;474;101,425781;286;96;0;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:14:000;5774;41,44515017;2,51671695;10362,9810882881;21,394531;65,044556;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;286;32;32;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:18:016;5778;41,44201575;2,52898244;10362,9654230382;21,808594;66,137695;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;287;-32;-32;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:22:023;5782;41,43879173;2,54120189;10362,9493812183;22,226562;67,197876;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,601562;286;-96;-32;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:26:039;5786;41,43554757;2,55344045;10362,9329084046;22,652344;68,219604;5315;340;710063;SVA020;1013;0,176;109,160;526;0;472;101,601562;286;-32;-32;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:30:070;5790;41,43232839;2,56568391;10362,9160357267;23,085938;69,197388;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;286;-192;0;2671;109,1876;No alert, no SPI, aircraft airbone;
01:36:34:063;5794;41,42911443;2,57795255;10362,8987287497;23,527344;70,136719;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;286;32;0;2671;109,292;No alert, no SPI, aircraft airbone;
01:36:38:078;5798;41,42579068;2,59021263;10362,8809970953;23,972656;71,054077;5315;340;710063;SVA020;1013;N/A;N/A;N/A;N/A;N/A;101,425781;286;192;0;2671;109,292;No alert, no SPI, aircraft airbone;
01:46:38:773;6399;41,09231881;2,59570597;2697,18495204672;25,660156;119,036865;2005;88,5;346047;VLG7895;1017;0,176;-94,043;278;-0,062;286;-90,878906;250;-1280;-1184;2631;265,8691;No alert, no SPI, aircraft airbone;
01:46:42:797;6403;41,09202534;2,58896343;2674,33450378291;25,402344;119,4104;2005;87,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-90,878906;249;-1248;-1216;2631;265,8527;No alert, no SPI, aircraft airbone;
01:46:46:805;6407;41,09165207;2,58233765;2643,86380638275;25,152344;119,794922;2005;86,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-91,054688;249;-1248;-1312;2631;265,8527;No alert, no SPI, aircraft airbone;
01:46:50:797;6411;41,09133598;2,57552079;2621,01321363822;24,894531;120,19043;2005;86;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-91,582031;249;-1440;-1408;2631;266,0449;No alert, no SPI, aircraft airbone;
01:46:54:797;6415;41,09097774;2,56884718;2590,54231966753;24,644531;120,591431;2005;85;346047;VLG7895;1017;-0,176;-93,691;276;-0,062;282;-92,109375;250;-1312;-1472;2631;266,2537;No alert, no SPI, aircraft airbone;
01:46:58:805;6419;41,09071327;2,56211666;2560,07132720482;24,390625;120,992432;2005;84;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,285156;250;-1536;-1472;2631;266,0284;No alert, no SPI, aircraft airbone;
01:47:02:805;6423;41,09030959;2,55544395;2529,60020091012;24,144531;121,415405;2005;83;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,636719;249;-1504;-1440;2631;266,0284;No alert, no SPI, aircraft airbone;
01:47:06:813;6427;41,08990629;2,54863518;2499,12912115455;23,894531;121,854858;2005;82;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,636719;250;-1504;-1472;2631;265,8252;No alert, no SPI, aircraft airbone;
01:47:10:820;6431;41,08959754;2,54197153;2468,65768098552;23,648438;122,283325;2005;81;346047;VLG7895;1017;0,527;-94,219;274;0;282;-92,636719;250;-1440;-1408;2631;265,8087;No alert, no SPI, aircraft airbone;
01:47:14:820;6435;41,08922456;2,53531406;2445,80613935925;23,40625;122,728271;2005;80,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,636719;250;-1248;-1344;2631;265,8087;No alert, no SPI, aircraft airbone;
01:47:18:828;6439;41,08888343;2,52865324;2415,33446009085;23,164062;123,178711;2005;79,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,636719;251;-1184;-1280;2631;265,7922;No alert, no SPI, aircraft airbone;
01:47:22:844;6443;41,08845233;2,52197150;2392,48272527289;22,925781;123,651123;2005;78,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;250;-1280;-1248;2631;265,7922;No alert, no SPI, aircraft airbone;
01:47:26:844;6447;41,08811720;2,51534107;2362,01075513195;22,6875;124,118042;2005;77,5;346047;VLG7895;1017;0,352;-94,219;272;-0,062;280;-92,988281;250;-1216;-1280;2631;265,7758;No alert, no SPI, aircraft airbone;
01:47:30:852;6451;41,08772598;2,50871670;2339,15868161712;22,453125;124,60144;2005;76,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,8125;249;-1152;-1280;2631;265,7593;No alert, no SPI, aircraft airbone;
01:47:34:859;6455;41,08731451;2,50203626;2308,68655777257;22,21875;125,101318;2005;75,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,460938;248;-1376;-1440;2631;265,7593;No alert, no SPI, aircraft airbone;
01:47:38:867;6459;41,08693622;2,49544742;2278,21418803558;21,988281;125,601196;2005;74,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,8125;249;-1696;-1600;2631;265,9735;No alert, no SPI, aircraft airbone;
01:47:42:891;6463;41,08661083;2,48875670;2247,74178038165;21,753906;126,112061;2005;73,75;346047;VLG7895;1017;0,352;-94,043;270;0,125;278;-92,988281;249;-1728;-1664;2631;265,9735;No alert, no SPI, aircraft airbone;
01:47:46:883;6467;41,08619738;2,48214600;2217,26920402516;21,527344;126,639404;2005;72,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;249;-1632;-1632;2631;265,7593;No alert, no SPI, aircraft airbone;
01:47:50:891;6471;41,08585484;2,47556244;2179,17643871158;21,300781;127,166748;2005;71,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;250;-1568;-1632;2631;265,7593;No alert, no SPI, aircraft airbone;
01:47:54:891;6475;41,08548156;2,46888949;2148,70365947485;21,074219;127,716064;2005;70,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;249;-1600;-1504;2631;265,7593;No alert, no SPI, aircraft airbone;
01:47:58:898;6479;41,08511806;2,46228178;2118,2306820536;20,851562;128,270874;2005;69,5;346047;VLG7895;1017;0,352;-94,219;270;-0,062;276;-92,988281;249;-1568;-1568;2631;265,7593;No alert, no SPI, aircraft airbone;
01:48:02:906;6483;41,08473833;2,45571150;2087,75755142886;20,632812;128,83667;2005;68,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;249;-1760;-1696;2631;265,9735;No alert, no SPI, aircraft airbone;
01:48:06:914;6487;41,08439898;2,44902188;2049,66439544875;20,410156;129,418945;2005;67,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-92,988281;249;-1696;-1728;2631;265,9735;No alert, no SPI, aircraft airbone;
01:48:10:922;6491;41,08407533;2,44239432;2019,19104424398;20,191406;130,006714;2005;66,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-93,339844;248;-1632;-1696;2631;265,9845;No alert, no SPI, aircraft airbone;
01:48:14:930;6495;41,08368948;2,43575364;1981,09761295561;19,976562;130,616455;2005;65;346047;VLG7895;1017;0,352;-93,867;272;0;274;-93,515625;248;-1984;-1952;2631;265,9845;No alert, no SPI, aircraft airbone;
01:48:18:945;6499;41,08333810;2,42908570;1943,0040641129;19,761719;131,237183;2005;63,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-93,691406;249;-1888;-1888;2631;266,001;No alert, no SPI, aircraft airbone;
01:48:22:945;6503;41,08304675;2,42241949;1904,9103563875;19,546875;131,863403;2005;62,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-93,691406;249;-2048;-1952;2631;266,0175;No alert, no SPI, aircraft airbone;
01:48:26:961;6507;41,08267888;2,41571276;1859,19659838453;19,335938;132,51709;2005;61;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,042969;252;-1984;-1888;2631;265,8252;No alert, no SPI, aircraft airbone;
01:48:30:969;6511;41,08231411;2,40891890;1828,72278725076;19,125;133,192749;2005;60;346047;VLG7895;1017;-0,352;-94,219;276;-0,031;276;-94,042969;253;-1632;-1600;2631;265,8362;No alert, no SPI, aircraft airbone;
01:48:34:969;6515;41,08197245;2,40219180;1798,24877607357;18,917969;133,873901;2005;59;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,042969;252;-1504;-1440;2631;265,6329;No alert, no SPI, aircraft airbone;
01:48:38:984;6519;41,08154699;2,39539202;1767,77474091761;18,714844;134,588013;2005;58;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,042969;252;-1408;-1376;2631;265,6329;No alert, no SPI, aircraft airbone;
01:48:43:008;6523;41,08114778;2,38865777;1737,300507484;18,515625;135,307617;2005;57;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,042969;252;-1440;-1344;2631;265,8252;No alert, no SPI, aircraft airbone;
01:48:47:016;6527;41,08075625;2,38195742;1714,44611439947;18,320312;136,038208;2005;56,25;346047;VLG7895;1017;0,352;-94,043;274;0,031;274;-94,21875;252;-1344;-1280;2631;265,8087;No alert, no SPI, aircraft airbone;
01:48:51:008;6531;41,08041537;2,37523818;1683,97158202343;18,125;136,779785;2005;55,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,570312;254;-1312;-1184;2631;265,7922;No alert, no SPI, aircraft airbone;
01:48:55:023;6535;41,08003607;2,36861137;1661,11687161587;17,9375;137,532349;2005;54,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,746094;251;-1056;-1056;2631;265,9845;No alert, no SPI, aircraft airbone;
01:48:59:031;6539;41,07973354;2,36198774;1645,88199376967;17,75;138,290405;2005;54;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,921875;252;-1024;-1120;2631;265,9735;No alert, no SPI, aircraft airbone;
01:49:03:039;6543;41,07937783;2,35532261;1615,40704933833;17,566406;139,075928;2005;53;346047;VLG7895;1017;0;-94,219;270;-0,094;272;-94,921875;251;-1216;-1216;2631;265,957;No alert, no SPI, aircraft airbone;
01:49:07:047;6547;41,07900296;2,34877341;1592,55190758221;17,390625;139,866943;2005;52,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-95,273438;249;-1280;-1312;2631;265,7318;No alert, no SPI, aircraft airbone;
01:49:11:055;6551;41,07865128;2,34228835;1562,07658798527;17,21875;140,663452;2005;51,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-95,449219;250;-1408;-1376;2631;265,7153;No alert, no SPI, aircraft airbone;
01:49:15:070;6555;41,07829374;2,33566629;1539,22124327347;17,046875;141,49292;2005;50,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-95,449219;250;-1568;-1440;2631;265,7153;No alert, no SPI, aircraft airbone;
01:49:19:078;6559;41,07787846;2,32910423;1508,74576607347;16,882812;142,338867;2005;49,5;346047;VLG7895;1017;0;-94,043;268;-0,062;268;-95,800781;249;-1440;-1376;2631;265,9296;No alert, no SPI, aircraft airbone;
01:49:23:094;6563;41,07757644;2,32260549;1478,27006663289;16,71875;143,179321;2005;48,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-96,152344;251;-1408;-1312;2631;265,9131;No alert, no SPI, aircraft airbone;
01:49:27:102;6567;41,07720500;2,31612913;1455,41427068226;16,5625;144,041748;2005;47,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-96,328125;249;-1280;-1280;2631;265,9131;No alert, no SPI, aircraft airbone;
01:49:31:109;6571;41,07688192;2,30960567;1424,93835768197;16,40625;144,920654;2005;46,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-96,679688;248;-1440;-1376;2631;265,8966;No alert, no SPI, aircraft airbone;
01:49:35:125;6575;41,07650794;2,30312858;1402,08232459147;16,257812;145,81604;2005;46;346047;VLG7895;1017;-0,352;-94,043;266;-0,031;266;-97,03125;249;-1472;-1504;2631;265,8966;No alert, no SPI, aircraft airbone;
01:49:39:133;6579;41,07618396;2,29660634;1363,98617063183;16,109375;146,727905;2005;44,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,03125;249;-1696;-1568;2631;265,8966;No alert, no SPI, aircraft airbone;
01:49:43:164;6583;41,07583832;2,29018274;1333,50985471532;15,96875;147,645264;2005;43,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,382812;249;-1632;-1600;2631;265,6824;No alert, no SPI, aircraft airbone;
01:49:47:172;6587;41,07546859;2,28369665;1303,03346697334;15,832031;148,590088;2005;42,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,382812;249;-1600;-1600;2631;265,4846;No alert, no SPI, aircraft airbone;
01:49:51:172;6591;41,07506652;2,27711776;1272,55702356063;15,699219;149,567871;2005;41,75;346047;VLG7895;1017;0,176;-94,570;266;-0,094;264;-97,207031;248;-1664;-1664;2631;265,4846;No alert, no SPI, aircraft airbone;
01:49:55:180;6595;41,07467188;2,27053209;1234,46045661252;15,570312;150,562134;2005;40,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,207031;249;-1664;-1696;2631;265,2704;No alert, no SPI, aircraft airbone;
01:49:59:195;6599;41,07427992;2,26390541;1203,98378407396;15,445312;151,578369;2005;39,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,207031;249;-1632;-1696;2631;265,5011;No alert, no SPI, aircraft airbone;
01:50:03:203;6603;41,07387543;2,25739436;1165,8869426474;15,328125;152,594604;2005;38,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-97,03125;249;-1472;-1280;2631;265,5176;No alert, no SPI, aircraft airbone;
01:50:07:219;6607;41,07348001;2,25083330;1150,64999723062;15,214844;153,632812;2005;37,75;346047;VLG7895;1017;0,352;-94,570;268;0,031;262;-96,855469;248;-960;-832;2631;265,5011;No alert, no SPI, aircraft airbone;
01:50:11:227;6611;41,07311984;2,24431243;1135,41289421916;15,105469;154,676514;2005;37,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-96,855469;247;-640;-608;2631;265,4681;No alert, no SPI, aircraft airbone;
01:50:15:250;6615;41,07272456;2,23783662;1120,17567226011;15,003906;155,731201;2005;36,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-96,855469;245;-544;-544;2631;265,6494;No alert, no SPI, aircraft airbone;
01:50:19:258;6619;41,07237435;2,23142233;1112,55828405451;14,90625;156,785889;2005;36,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-94,921875;243;-576;-608;2631;266,0669;No alert, no SPI, aircraft airbone;
01:50:23:273;6623;41,07218248;2,22500624;1097,32069304213;14,804688;157,840576;2005;36;346047;VLG7895;1017;16,172;-89,297;260;1,188;254;-89,472656;241;-672;-704;2631;269,5551;No alert, no SPI, aircraft airbone;
01:50:27:281;6627;41,07233263;2,21873466;1082,08274984825;14,691406;158,856812;2005;35,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-85,078125;240;-704;-672;2631;274,2078;No alert, no SPI, aircraft airbone;
01:50:31:297;6631;41,07315601;2,21258985;1066,84428759571;14,546875;159,812622;2005;35;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-81,210938;239;-608;-544;2631;278,5034;No alert, no SPI, aircraft airbone;
01:50:35:305;6635;41,07427246;2,20648519;1059,22554856259;14,390625;160,757446;2005;34,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-77,695312;238;-672;-608;2631;282,2333;No alert, no SPI, aircraft airbone;
01:50:39:320;6639;41,07559957;2,20040647;1043,98658559658;14,226562;161,702271;2005;34,25;346047;VLG7895;1017;6,855;-73,652;252;0,406;248;-75,234375;235;-672;-640;2631;285,6281;No alert, no SPI, aircraft airbone;
01:50:43:344;6643;41,07698029;2,19455296;1028,7474337453;14,066406;162,625122;2005;33,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-73,652344;232;-672;-608;2631;288,1384;No alert, no SPI, aircraft airbone;
01:50:47:344;6647;41,07855346;2,18895538;1021,12802334875;13,902344;163,509521;2005;33,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-72,070312;228;-608;-608;2631;289,4788;No alert, no SPI, aircraft airbone;
01:50:51:352;6651;41,08019463;2,18341696;1005,88848014176;13,738281;164,399414;2005;33;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-70,839844;224;-640;-640;2631;290,6927;No alert, no SPI, aircraft airbone;
01:50:55:359;6655;41,08185112;2,17798763;998,268824535422;13,578125;165,289307;2005;32,75;346047;VLG7895;1017;2,285;-67,852;236;0,188;232;-70,136719;221;-608;-768;2631;292,1155;No alert, no SPI, aircraft airbone;
01:50:59:375;6659;41,08353800;2,17280566;975,409026125446;13,421875;166,151733;2005;32;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;218;-928;-896;2631;292,7142;No alert, no SPI, aircraft airbone;
01:51:03:383;6663;41,08520326;2,16756249;960,169180714525;13,269531;167,047119;2005;31,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;216;-832;-832;2631;292,9999;No alert, no SPI, aircraft airbone;
01:51:07:391;6667;41,08693428;2,16237815;944,929220021702;13,117188;167,947998;2005;31;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,433594;214;-800;-800;2631;293,0658;No alert, no SPI, aircraft airbone;
01:51:11:406;6671;41,08860662;2,15731501;929,689200802706;12,972656;168,848877;2005;30,5;346047;VLG7895;1017;0,176;-66,973;224;0;220;-69,257812;211;-832;-800;2631;293,0273;No alert, no SPI, aircraft airbone;
01:51:15:422;6675;41,09020658;2,15228665;914,449146845378;12,835938;169,766235;2005;30;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,433594;209;-768;-736;2631;293,0933;No alert, no SPI, aircraft airbone;
01:51:19:430;6679;41,09187975;2,14739295;899,20897319261;12,699219;170,672607;2005;29,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,433594;205;-800;-736;2631;292,9175;No alert, no SPI, aircraft airbone;
01:51:23:438;6683;41,09340855;2,14248800;883,96881100256;12,574219;171,606445;2005;29;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,433594;203;-704;-672;2631;292,7802;No alert, no SPI, aircraft airbone;
01:51:27:453;6687;41,09499952;2,13763472;868,728550176136;12,449219;172,545776;2005;28,5;346047;VLG7895;1017;0;-67,148;214;-0,125;210;-69,433594;202;-640;-640;2631;292,8461;No alert, no SPI, aircraft airbone;
01:51:31:461;6691;41,09646684;2,13296797;853,488272453658;12,335938;173,468628;2005;28;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,785156;199;-608;-608;2631;292,6593;No alert, no SPI, aircraft airbone;
01:51:35:477;6695;41,09798696;2,12824397;845,867916640826;12,222656;174,418945;2005;27,75;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;196;-608;-640;2631;292,7252;No alert, no SPI, aircraft airbone;
01:51:39:484;6699;41,09943933;2,12366011;830,627526923083;12,117188;175,358276;2005;27,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,785156;194;-608;-672;2631;292,6813;No alert, no SPI, aircraft airbone;
01:51:43:500;6704;41,10094413;2,11901947;815,38706022501;12,011719;176,325073;2005;26,75;346047;VLG7895;1017;0,176;-67,324;202;0;200;-69,785156;192;-608;-576;2631;292,6373;No alert, no SPI, aircraft airbone;
01:51:47:508;6708;41,10231935;2,11453938;807,766593490727;11,917969;177,275391;2005;26,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;191;-608;-608;2631;292,5934;No alert, no SPI, aircraft airbone;
01:51:51:516;6712;41,10374659;2,11002432;792,526050529443;11,824219;178,247681;2005;26;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;190;-768;-768;2631;292,7032;No alert, no SPI, aircraft airbone;
01:51:55:531;6716;41,10516609;2,10550352;777,285458168015;11,734375;179,23645;2005;25,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-69,609375;189;-864;-832;2631;292,5494;No alert, no SPI, aircraft airbone;
01:51:59:547;6720;41,10657677;2,10104931;754,42481683474;11,648438;180,22522;2005;24,75;346047;VLG7895;1017;1,406;-67,5;198;0,031;196;-69,609375;189;-928;-928;2631;292,5494;No alert, no SPI, aircraft airbone;
01:52:03:563;6724;41,10804858;2,09658711;739,184095602483;11,5625;181,230469;2005;24,25;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-67,148438;190;-1088;-1056;2631;293,5767;No alert, no SPI, aircraft airbone;
01:52:07:570;6728;41,10957544;2,09221677;716,323300419375;11,476562;182,230225;2005;23,5;346047;VLG7895;1017;N/A;N/A;N/A;N/A;N/A;-62,753906;190;-960;-928;2631;297,0813;No alert, no SPI, aircraft airbone;
